Class ID,Course Code,Status,Capacity,Count,Course Title,Section,Faculty,Type,Day,Start Time,End Time,Room,Department
01416,,Open,40,37,LABOR LAW OF BANGLADESH [A],A,-,Theory,Tuesday,11:20 AM,12:50 PM,2109,FACULTY OF BUSINESS ADMINISTRATION
01417,,Open,40,40,PROGRAMMING IN PYTHON [A],A,-,Theory,Wednesday,10:20 AM,12:20 PM,9203,FACULTY OF SCIENCE & TECHNOLOGY
01417,,Open,40,40,PROGRAMMING IN PYTHON [A],A,-,Lab,Monday,10:20 AM,12:40 PM,DS0203,FACULTY OF SCIENCE & TECHNOLOGY
01418,,Open,40,38,PROGRAMMING IN PYTHON [B],B,-,Theory,Monday,8:00 AM,10:00 AM,9409,FACULTY OF SCIENCE & TECHNOLOGY
01418,,Open,40,38,PROGRAMMING IN PYTHON [B],B,-,Lab,Wednesday,8:00 AM,10:20 AM,DN0212,FACULTY OF SCIENCE & TECHNOLOGY
01419,,Cancel,40,0,PROGRAMMING IN PYTHON [C],C,-,Theory,Sunday,10:20 AM,12:20 PM,9405,FACULTY OF SCIENCE & TECHNOLOGY
01419,,Cancel,40,0,PROGRAMMING IN PYTHON [C],C,-,Lab,Tuesday,10:20 AM,12:40 PM,DN0110,FACULTY OF SCIENCE & TECHNOLOGY
01420,,Reserved,40,0,HUMAN RESOURCE PLANNING & FORECASTING [A],A,-,Theory,Monday,9:40 AM,11:10 AM,2104,FACULTY OF BUSINESS ADMINISTRATION
01420,,Reserved,40,0,HUMAN RESOURCE PLANNING & FORECASTING [A],A,-,Theory,Wednesday,9:40 AM,11:10 AM,2104,FACULTY OF BUSINESS ADMINISTRATION
01421,,Open,40,40,PROGRAMMING LANGUAGE 1 [EEE] [A],A,-,Theory,Wednesday,8:00 AM,10:00 AM,9201,FACULTY OF SCIENCE & TECHNOLOGY
01421,,Open,40,40,PROGRAMMING LANGUAGE 1 [EEE] [A],A,-,Lab,Monday,8:00 AM,10:20 AM,DN0111,FACULTY OF SCIENCE & TECHNOLOGY
01422,,Open,40,40,PROGRAMMING LANGUAGE 1 [EEE] [B],B,-,Theory,Monday,10:20 AM,12:20 PM,9201,FACULTY OF SCIENCE & TECHNOLOGY
01422,,Open,40,40,PROGRAMMING LANGUAGE 1 [EEE] [B],B,-,Lab,Wednesday,10:20 AM,12:40 PM,DS0105,FACULTY OF SCIENCE & TECHNOLOGY
01423,,Open,40,40,PROGRAMMING LANGUAGE 1 [EEE] [C],C,-,Theory,Sunday,12:40 PM,2:40 PM,9208,FACULTY OF SCIENCE & TECHNOLOGY
01423,,Open,40,40,PROGRAMMING LANGUAGE 1 [EEE] [C],C,-,Lab,Thursday,12:40 PM,3:00 PM,DS0206,FACULTY OF SCIENCE & TECHNOLOGY
01424,,Open,40,39,PROGRAMMING LANGUAGE 2 [EEE] [A],A,-,Theory,Sunday,8:00 AM,10:00 AM,9202,FACULTY OF ENGINEERING
01424,,Open,40,39,PROGRAMMING LANGUAGE 2 [EEE] [A],A,-,Lab,Tuesday,8:00 AM,10:20 AM,DS0208,FACULTY OF ENGINEERING
01425,,Open,40,40,PROGRAMMING LANGUAGE 2 [EEE] [B],B,-,Theory,Monday,10:20 AM,12:20 PM,9202,FACULTY OF ENGINEERING
01425,,Open,40,40,PROGRAMMING LANGUAGE 2 [EEE] [B],B,-,Lab,Wednesday,10:20 AM,12:40 PM,DN0212,FACULTY OF ENGINEERING
01426,,Open,40,37,PROGRAMMING LANGUAGE 2 [EEE] [C],C,-,Theory,Tuesday,12:40 PM,2:40 PM,9208,FACULTY OF ENGINEERING
